2	55	40	32	32	0	0
5	256	40	32	32	0	0
6	292	40	32	32	0	0
7	19	138	32	32	0	0
8	55	138	32	32	0	0
9	91	138	32	32	0	0
10	127	138	32	32	0	0
11	184	138	32	32	0	0
12	220	138	32	32	0	0
13	256	138	32	32	0	0
14	292	138	32	32	0	0
15	328	138	32	32	0	0
16	91	198	32	32	0	0
17	127	198	32	32	0	0
18	220	198	32	32	0	0
19	55	295	32	32	0	0
20	256	295	32	32	0	0
21	292	295	32	32	0	0
22	19	393	32	32	0	0
23	55	393	32	32	0	0
24	91	393	32	32	0	0
25	127	393	32	32	0	0
26	184	393	32	32	0	0
27	220	393	32	32	0	0
28	256	393	32	32	0	0
29	292	393	32	32	0	0
30	328	393	32	32	0	0
31	91	453	32	32	0	0
32	127	453	32	32	0	0
33	220	453	32	32	0	0
